From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9C004	Q9C004	reviewed	SPY4_HUMAN	Protein sprouty homolog 4, Spry-4	SPRY4	Homo sapiens (Human)	299
Q9C005	Q9C005	reviewed	DPY30_HUMAN	Protein dpy-30 homolog (Dpy-30-like protein, Dpy-30L)	DPY30	Homo sapiens (Human)	99
Q9C009	Q9C009	reviewed	FOXQ1_HUMAN	Forkhead box protein Q1 (HNF-3/forkhead-like protein 1, HFH-1) (Hepatocyte nuclear factor 3 forkhead homolog 1)	FOXQ1 HFH1	Homo sapiens (Human)	403
Q9C026	Q9C026	reviewed	TRIM9_HUMAN	E3 ubiquitin-protein ligase TRIM9, EC 2.3.2.27 (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91	Homo sapiens (Human)	710
Q9C035	Q9C035	reviewed	TRIM5_HUMAN	Tripartite motif-containing protein 5, EC 2.3.2.27 (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	TRIM5 RNF88	Homo sapiens (Human)	493
Q9C040	Q9C040	reviewed	TRIM2_HUMAN	Tripartite motif-containing protein 2, EC 2.3.2.27 (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2 KIAA0517 RNF86	Homo sapiens (Human)	744
Q9C073	Q9C073	reviewed	F117A_HUMAN	Protein FAM117A (C/EBP-induced protein)	FAM117A	Homo sapiens (Human)	453
Q9C086	Q9C086	reviewed	IN80B_HUMAN	INO80 complex subunit B (High mobility group AT-hook 1-like 4) (IES2 homolog, hIes2) (PAP-1-associated protein 1, PAPA-1) (Zinc finger HIT domain-containing protein 4)	INO80B HMGA1L4 PAPA1 ZNHIT4	Homo sapiens (Human)	356
Q9C099	Q9C099	reviewed	LRCC1_HUMAN	Leucine-rich repeat and coiled-coil domain-containing protein 1 (Centrosomal leucine-rich repeat and coiled-coil domain-containing protein)	LRRCC1 CLERC KIAA1764	Homo sapiens (Human)	1032
Q9C0A1	Q9C0A1	reviewed	ZFHX2_HUMAN	Zinc finger homeobox protein 2 (Zinc finger homeodomain protein 2, ZFH-2)	ZFHX2 KIAA1056 KIAA1762 ZNF409	Homo sapiens (Human)	2572
Q9C0A6	Q9C0A6	reviewed	SETD5_HUMAN	Histone-lysine N-methyltransferase SETD5, EC 2.1.1.359, EC 2.1.1.367 (SET domain-containing protein 5)	SETD5 KIAA1757	Homo sapiens (Human)	1442
Q9C0B0	Q9C0B0	reviewed	UNK_HUMAN	RING finger protein unkempt homolog (Zinc finger CCCH domain-containing protein 5)	UNK KIAA1753 ZC3H5 ZC3HDC5	Homo sapiens (Human)	810
Q9C0B1	Q9C0B1	reviewed	FTO_HUMAN	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO, EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO, EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO, m6A(m)-demethylase FTO, EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO, EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO, EC 1.14.11.-)	FTO KIAA1752	Homo sapiens (Human)	505
Q9C0B5	Q9C0B5	reviewed	ZDHC5_HUMAN	Palmitoyltransferase ZDHHC5, EC 2.3.1.225 (Zinc finger DHHC domain-containing protein 5, DHHC-5) (Zinc finger protein 375)	ZDHHC5 KIAA1748 ZNF375	Homo sapiens (Human)	715
Q9C0B9	Q9C0B9	reviewed	ZCHC2_HUMAN	Zinc finger CCHC domain-containing protein 2	ZCCHC2 C18orf49 KIAA1744	Homo sapiens (Human)	1178
Q9C0C2	Q9C0C2	reviewed	TB182_HUMAN	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729
Q9C0C4	Q9C0C4	reviewed	SEM4C_HUMAN	Semaphorin-4C	SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487	Homo sapiens (Human)	833
Q9C0C6	Q9C0C6	reviewed	CIPC_HUMAN	CLOCK-interacting pacemaker (CLOCK-interacting circadian protein)	CIPC KIAA1737	Homo sapiens (Human)	399
Q9C0C7	Q9C0C7	reviewed	AMRA1_HUMAN	Activating molecule in BECN1-regulated autophagy protein 1 (DDB1- and CUL4-associated factor 3)	AMBRA1 DCAF3 KIAA1736	Homo sapiens (Human)	1298
Q9C0C9	Q9C0C9	reviewed	UBE2O_HUMAN	(E3-independent) E2 ubiquitin-conjugating enzyme, EC 2.3.2.24 (E2/E3 hybrid ubiquitin-protein ligase UBE2O) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa, Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)	UBE2O KIAA1734	Homo sapiens (Human)	1292
Q9C0D0	Q9C0D0	reviewed	PHAR1_HUMAN	Phosphatase and actin regulator 1	PHACTR1 KIAA1733 RPEL1	Homo sapiens (Human)	580
Q9C0D2	Q9C0D2	reviewed	CE295_HUMAN	Centrosomal protein of 295 kDa	CEP295 KIAA1731	Homo sapiens (Human)	2601
Q9C0D5	Q9C0D5	reviewed	TANC1_HUMAN	Protein TANC1 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 1)	TANC1 KIAA1728	Homo sapiens (Human)	1861
Q9C0D6	Q9C0D6	reviewed	FHDC1_HUMAN	FH2 domain-containing protein 1 (Inverted formin-1)	FHDC1 INF1 KIAA1727	Homo sapiens (Human)	1143
Q9C0D7	Q9C0D7	reviewed	ZC12C_HUMAN	Probable ribonuclease ZC3H12C, EC 3.1.-.- (MCP-induced protein 3) (Zinc finger CCCH domain-containing protein 12C)	ZC3H12C KIAA1726 MCPIP3	Homo sapiens (Human)	883
Q9C0E2	Q9C0E2	reviewed	XPO4_HUMAN	Exportin-4, Exp4	XPO4 KIAA1721	Homo sapiens (Human)	1151
Q9C0E8	Q9C0E8	reviewed	LNP_HUMAN	Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)	LNPK KIAA1715 LNP	Homo sapiens (Human)	428
Q9C0F0	Q9C0F0	reviewed	ASXL3_HUMAN	Putative Polycomb group protein ASXL3 (Additional sex combs-like protein 3)	ASXL3 KIAA1713	Homo sapiens (Human)	2248
Q9C0F1	Q9C0F1	reviewed	CEP44_HUMAN	Centrosomal protein of 44 kDa, Cep44 (HBV PreS1-transactivated protein 3, PS1TP3)	CEP44 KIAA1712	Homo sapiens (Human)	390
Q9C0G0	Q9C0G0	reviewed	ZN407_HUMAN	Zinc finger protein 407	ZNF407 KIAA1703	Homo sapiens (Human)	2248
Q9C0H2	Q9C0H2	reviewed	TTYH3_HUMAN	Protein tweety homolog 3, hTTY3	TTYH3 KIAA1691	Homo sapiens (Human)	523
Q9C0H5	Q9C0H5	reviewed	RHG39_HUMAN	Rho GTPase-activating protein 39	ARHGAP39 KIAA1688	Homo sapiens (Human)	1083
Q9C0H9	Q9C0H9	reviewed	SRCN1_HUMAN	SRC kinase signaling inhibitor 1 (SNAP-25-interacting protein, SNIP) (p130Cas-associated protein) (p140Cap)	SRCIN1 KIAA1684 P140 SNIP	Homo sapiens (Human)	1183
Q9C0I3	Q9C0I3	reviewed	CCSE1_HUMAN	Serine-rich coiled-coil domain-containing protein 1 (Coiled-coil serine-rich protein 1)	CCSER1 FAM190A KIAA1680	Homo sapiens (Human)	900
Q9C0J8	Q9C0J8	reviewed	WDR33_HUMAN	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)	WDR33 WDC146	Homo sapiens (Human)	1336
Q9C0K0	Q9C0K0	reviewed	BC11B_HUMAN	B-cell lymphoma/leukemia 11B, BCL-11B (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein, hRit1)	BCL11B CTIP2 RIT1	Homo sapiens (Human)	894
Q9GZM8	Q9GZM8	reviewed	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1, Protein Nudel (Mitosin-associated protein 1)	NDEL1 EOPA MITAP1 NUDEL	Homo sapiens (Human)	345
Q9GZN1	Q9GZN1	reviewed	ARP6_HUMAN	Actin-related protein 6, hArp6 (hARPX)	ACTR6 CDA12	Homo sapiens (Human)	396
Q9GZN2	Q9GZN2	reviewed	TGIF2_HUMAN	Homeobox protein TGIF2 (5'-TG-3'-interacting factor 2) (TGF-beta-induced transcription factor 2, TGFB-induced factor 2)	TGIF2	Homo sapiens (Human)	237
Q9GZN7	Q9GZN7	reviewed	ROGDI_HUMAN	Protein rogdi homolog	ROGDI	Homo sapiens (Human)	287
Q9GZN8	Q9GZN8	reviewed	CT027_HUMAN	UPF0687 protein C20orf27	C20orf27	Homo sapiens (Human)	174
Q9GZP1	Q9GZP1	reviewed	NRSN2_HUMAN	Neurensin-2	NRSN2 C20orf98	Homo sapiens (Human)	204
Q9GZP4	Q9GZP4	reviewed	PITH1_HUMAN	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211
Q9GZP8	Q9GZP8	reviewed	IMUP_HUMAN	Immortalization up-regulated protein (Hepatocyte growth factor activator inhibitor type 2-related small protein, H2RSP, HAI-2-related small protein)	IMUP C19orf33	Homo sapiens (Human)	106
Q9GZR1	Q9GZR1	reviewed	SENP6_HUMAN	Sentrin-specific protease 6, EC 3.4.22.- (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	Homo sapiens (Human)	1112
Q9GZR2	Q9GZR2	reviewed	REXO4_HUMAN	RNA exonuclease 4, EC 3.1.-.- (Exonuclease XPMC2) (Prevents mitotic catastrophe 2 protein homolog, hPMC2)	REXO4 PMC2 XPMC2H	Homo sapiens (Human)	422
Q9GZR7	Q9GZR7	reviewed	DDX24_HUMAN	ATP-dependent RNA helicase DDX24, EC 3.6.4.13 (DEAD box protein 24)	DDX24	Homo sapiens (Human)	859
Q9GZT3	Q9GZT3	reviewed	SLIRP_HUMAN	SRA stem-loop-interacting RNA-binding protein, mitochondrial	SLIRP C14orf156 DC23 DC50 PD04872	Homo sapiens (Human)	109
Q9GZT9	Q9GZT9	reviewed	EGLN1_HUMAN	Egl nine homolog 1, EC 1.14.11.29 (Hypoxia-inducible factor prolyl hydroxylase 2, HIF-PH2, HIF-prolyl hydroxylase 2, HPH-2) (Prolyl hydroxylase domain-containing protein 2, PHD2) (SM-20)	EGLN1 C1orf12 PNAS-118 PNAS-137	Homo sapiens (Human)	426
Q9GZU1	Q9GZU1	reviewed	MCLN1_HUMAN	Mucolipin-1, ML1 (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1, TRPML1)	MCOLN1 ML4 TRPML1 MSTP080	Homo sapiens (Human)	580
Q9GZU2	Q9GZU2	reviewed	PEG3_HUMAN	Paternally-expressed gene 3 protein (Zinc finger and SCAN domain-containing protein 24)	PEG3 KIAA0287 ZSCAN24	Homo sapiens (Human)	1588
Q9GZU3	Q9GZU3	reviewed	TM39B_HUMAN	Transmembrane protein 39B	TMEM39B	Homo sapiens (Human)	492
Q9GZV4	Q9GZV4	reviewed	IF5A2_HUMAN	Eukaryotic translation initiation factor 5A-2, eIF-5A-2, eIF-5A2 (Eukaryotic initiation factor 5A isoform 2)	EIF5A2	Homo sapiens (Human)	153
Q9GZV5	Q9GZV5	reviewed	WWTR1_HUMAN	WW domain-containing transcription regulator protein 1 (Transcriptional coactivator with PDZ-binding motif)	WWTR1 TAZ	Homo sapiens (Human)	400
Q9GZX5	Q9GZX5	reviewed	ZN350_HUMAN	Zinc finger protein 350 (KRAB zinc finger protein ZFQR) (Zinc finger and BRCA1-interacting protein with a KRAB domain 1) (Zinc finger protein ZBRK1)	ZNF350 ZBRK1	Homo sapiens (Human)	532
Q9GZX9	Q9GZX9	reviewed	TWSG1_HUMAN	Twisted gastrulation protein homolog 1	TWSG1 TSG PSEC0250	Homo sapiens (Human)	223
Q9GZY0	Q9GZY0	reviewed	NXF2_HUMAN	Nuclear RNA export factor 2 (Cancer/testis antigen 39, CT39) (TAP-like protein 2, TAPL-2)	NXF2 TAPL2; NXF2B	Homo sapiens (Human)	626
Q9GZY6	Q9GZY6	reviewed	NTAL_HUMAN	Linker for activation of T-cells family member 2 (Linker for activation of B-cells) (Membrane-associated adapter molecule) (Non-T-cell activation linker) (Williams-Beuren syndrome chromosomal region 15 protein) (Williams-Beuren syndrome chromosomal region 5 protein)	LAT2 LAB NTAL WBS15 WBSCR15 WBSCR5 HSPC046	Homo sapiens (Human)	243
Q9GZY8	Q9GZY8	reviewed	MFF_HUMAN	Mitochondrial fission factor	MFF C2orf33 AD030 AD033 GL004	Homo sapiens (Human)	342
Q9GZZ1	Q9GZZ1	reviewed	NAA50_HUMAN	N-alpha-acetyltransferase 50, hNaa50p, EC 2.3.1.258 (N-acetyltransferase 13) (N-acetyltransferase 5, hNAT5) (N-acetyltransferase san homolog, hSAN) (N-epsilon-acetyltransferase 50, EC 2.3.1.-) (NatE catalytic subunit)	NAA50 MAK3 NAT13 NAT5	Homo sapiens (Human)	169
Q9GZZ9	Q9GZZ9	reviewed	UBA5_HUMAN	Ubiquitin-like modifier-activating enzyme 5, Ubiquitin-activating enzyme 5 (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	UBA5 UBE1DC1	Homo sapiens (Human)	404
Q9H000	Q9H000	reviewed	MKRN2_HUMAN	E3 ubiquitin-protein ligase makorin-2, EC 2.3.2.27 (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2)	MKRN2 RNF62 HSPC070	Homo sapiens (Human)	416
Q9H008	Q9H008	reviewed	LHPP_HUMAN	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase, hLHPP, EC 3.1.3.-, EC 3.6.1.1	LHPP	Homo sapiens (Human)	270
Q9H009	Q9H009	reviewed	NACA2_HUMAN	Nascent polypeptide-associated complex subunit alpha-2 (Alpha-NAC-like) (Hom s 2.01) (Nascent polypeptide-associated complex subunit alpha-like, NAC-alpha-like)	NACA2 NACAL	Homo sapiens (Human)	215
Q9H013	Q9H013	reviewed	ADA19_HUMAN	Disintegrin and metalloproteinase domain-containing protein 19, ADAM 19, EC 3.4.24.- (Meltrin-beta) (Metalloprotease and disintegrin dendritic antigen marker, MADDAM)	ADAM19 MLTNB FKSG34	Homo sapiens (Human)	955
Q9H019	Q9H019	reviewed	MFR1L_HUMAN	Mitochondrial fission regulator 1-like	MTFR1L FAM54B HYST1888 MSTP116	Homo sapiens (Human)	292
Q9H063	Q9H063	reviewed	MAF1_HUMAN	Repressor of RNA polymerase III transcription MAF1 homolog	MAF1	Homo sapiens (Human)	256
Q9H089	Q9H089	reviewed	LSG1_HUMAN	Large subunit GTPase 1 homolog, hLsg1, EC 3.6.1.-	LSG1	Homo sapiens (Human)	658
Q9H093	Q9H093	reviewed	NUAK2_HUMAN	NUAK family SNF1-like kinase 2, EC 2.7.11.1 (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase, SNARK)	NUAK2 OMPHK2 SNARK	Homo sapiens (Human)	628
Q9H098	Q9H098	reviewed	F107B_HUMAN	Protein FAM107B	FAM107B C10orf45	Homo sapiens (Human)	131
Q9H0A0	Q9H0A0	reviewed	NAT10_HUMAN	RNA cytidine acetyltransferase, EC 2.3.1.- (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein, hALP)	NAT10 ALP KIAA1709	Homo sapiens (Human)	1025
Q9H0B6	Q9H0B6	reviewed	KLC2_HUMAN	Kinesin light chain 2, KLC 2	KLC2	Homo sapiens (Human)	622
Q9H0C3	Q9H0C3	reviewed	TM117_HUMAN	Transmembrane protein 117	TMEM117	Homo sapiens (Human)	514
Q9H0C5	Q9H0C5	reviewed	BTBD1_HUMAN	BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8, HCV NS5A-transactivated protein 8)	BTBD1 C15orf1 NS5ATP8	Homo sapiens (Human)	482
Q9H0C8	Q9H0C8	reviewed	ILKAP_HUMAN	Integrin-linked kinase-associated serine/threonine phosphatase 2C, ILKAP, EC 3.1.3.16	ILKAP	Homo sapiens (Human)	392
Q9H0D6	Q9H0D6	reviewed	XRN2_HUMAN	5'-3' exoribonuclease 2, EC 3.1.13.- (DHM1-like protein, DHP protein)	XRN2	Homo sapiens (Human)	950
Q9H0E3	Q9H0E3	reviewed	SP130_HUMAN	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	SAP130	Homo sapiens (Human)	1048
Q9H0E9	Q9H0E9	reviewed	BRD8_HUMAN	Bromodomain-containing protein 8 (Skeletal muscle abundant protein) (Skeletal muscle abundant protein 2) (Thyroid hormone receptor coactivating protein of 120 kDa, TrCP120) (p120)	BRD8 SMAP SMAP2	Homo sapiens (Human)	1235
Q9H0F6	Q9H0F6	reviewed	SHRPN_HUMAN	Sharpin (Shank-associated RH domain-interacting protein) (Shank-interacting protein-like 1, hSIPL1)	SHARPIN SIPL1 PSEC0216	Homo sapiens (Human)	387
Q9H0G5	Q9H0G5	reviewed	NSRP1_HUMAN	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70, NSrp70)	NSRP1 CCDC55 NSRP70	Homo sapiens (Human)	558
Q9H0H0	Q9H0H0	reviewed	INT2_HUMAN	Integrator complex subunit 2, Int2	INTS2 KIAA1287	Homo sapiens (Human)	1204
Q9H0H3	Q9H0H3	reviewed	KLH25_HUMAN	Kelch-like protein 25 (Ectoderm-neural cortex protein 2, ENC-2)	KLHL25 ENC2	Homo sapiens (Human)	589
Q9H0H5	Q9H0H5	reviewed	RGAP1_HUMAN	Rac GTPase-activating protein 1 (Male germ cell RacGap, MgcRacGAP) (Protein CYK4 homolog, CYK4, HsCYK-4)	RACGAP1 KIAA1478 MGCRACGAP	Homo sapiens (Human)	632
Q9H0J9	Q9H0J9	reviewed	PAR12_HUMAN	Protein mono-ADP-ribosyltransferase PARP12, EC 2.4.2.- (ADP-ribosyltransferase diphtheria toxin-like 12, ARTD12) (Poly [ADP-ribose] polymerase 12, PARP-12) (Zinc finger CCCH domain-containing protein 1)	PARP12 ZC3HDC1	Homo sapiens (Human)	701
Q9H0K1	Q9H0K1	reviewed	SIK2_HUMAN	Serine/threonine-protein kinase SIK2, EC 2.7.11.1 (Qin-induced kinase) (Salt-inducible kinase 2, SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	SIK2 KIAA0781 QIK SNF1LK2	Homo sapiens (Human)	926
Q9H0L4	Q9H0L4	reviewed	CSTFT_HUMAN	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant, CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616
Q9H0M0	Q9H0M0	reviewed	WWP1_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP1, EC 2.3.2.26 (Atrophin-1-interacting protein 5, AIP5) (HECT-type E3 ubiquitin transferase WWP1) (TGIF-interacting ubiquitin ligase 1, Tiul1) (WW domain-containing protein 1)	WWP1	Homo sapiens (Human)	922
Q9H0M4	Q9H0M4	reviewed	ZCPW1_HUMAN	Zinc finger CW-type PWWP domain protein 1	ZCWPW1	Homo sapiens (Human)	648
Q9H0P0	Q9H0P0	reviewed	5NT3A_HUMAN	Cytosolic 5'-nucleotidase 3A, EC 3.1.3.5 (7-methylguanosine phosphate-specific 5'-nucleotidase, 7-methylguanosine nucleotidase, EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III, cN-III) (Pyrimidine 5'-nucleotidase 1, P5'N-1, P5N-1, PN-I) (Uridine 5'-monophosphate hydrolase 1) (p36)	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	Homo sapiens (Human)	336
Q9H0S4	Q9H0S4	reviewed	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47, EC 3.6.4.13 (DEAD box protein 47)	DDX47	Homo sapiens (Human)	455
Q9H0U4	Q9H0U4	reviewed	RAB1B_HUMAN	Ras-related protein Rab-1B, EC 3.6.5.2	RAB1B	Homo sapiens (Human)	201
Q9H0U9	Q9H0U9	reviewed	TSYL1_HUMAN	Testis-specific Y-encoded-like protein 1, TSPY-like protein 1	TSPYL1 TSPYL	Homo sapiens (Human)	437
Q9H0W5	Q9H0W5	reviewed	CCDC8_HUMAN	Coiled-coil domain-containing protein 8	CCDC8	Homo sapiens (Human)	538
Q9H0W8	Q9H0W8	reviewed	SMG9_HUMAN	Nonsense-mediated mRNA decay factor SMG9	SMG9 C19orf61	Homo sapiens (Human)	520
Q9H0X4	Q9H0X4	reviewed	F234A_HUMAN	Protein FAM234A (Protein ITFG3)	FAM234A C16orf9 ITFG3	Homo sapiens (Human)	552
Q9H0X9	Q9H0X9	reviewed	OSBL5_HUMAN	Oxysterol-binding protein-related protein 5, ORP-5, OSBP-related protein 5 (Oxysterol-binding protein homolog 1)	OSBPL5 KIAA1534 OBPH1 ORP5	Homo sapiens (Human)	879
Q9H115	Q9H115	reviewed	SNAB_HUMAN	Beta-soluble NSF attachment protein, SNAP-beta (N-ethylmaleimide-sensitive factor attachment protein beta)	NAPB SNAPB	Homo sapiens (Human)	298
Q9H116	Q9H116	reviewed	GZF1_HUMAN	GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336)	GZF1 ZBTB23 ZNF336	Homo sapiens (Human)	711
Q9H158	Q9H158	reviewed	PCDC1_HUMAN	Protocadherin alpha-C1, PCDH-alpha-C1	PCDHAC1	Homo sapiens (Human)	963
Q9H165	Q9H165	reviewed	BC11A_HUMAN	B-cell lymphoma/leukemia 11A, BCL-11A (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog, EVI-9) (Zinc finger protein 856)	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	Homo sapiens (Human)	835
Q9H171	Q9H171	reviewed	ZBP1_HUMAN	Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors, DAI) (Tumor stroma and activated macrophage protein DLM-1)	ZBP1 C20orf183 DLM1	Homo sapiens (Human)	429
Q9H1A4	Q9H1A4	reviewed	APC1_HUMAN	Anaphase-promoting complex subunit 1, APC1 (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	ANAPC1 TSG24	Homo sapiens (Human)	1944
Q9H1B7	Q9H1B7	reviewed	I2BPL_HUMAN	Probable E3 ubiquitin-protein ligase IRF2BPL, EC 2.3.2.27 (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like)	IRF2BPL C14orf4 EAP1 KIAA1865 My039	Homo sapiens (Human)	796
Q9H1C0	Q9H1C0	reviewed	LPAR5_HUMAN	Lysophosphatidic acid receptor 5, LPA receptor 5, LPA-5 (G-protein coupled receptor 92) (G-protein coupled receptor 93)	LPAR5 GPR92 GPR93	Homo sapiens (Human)	372
Q9H1C4	Q9H1C4	reviewed	UN93B_HUMAN	Protein unc-93 homolog B1, Unc-93B1, hUNC93B1	UNC93B1 UNC93 UNC93B	Homo sapiens (Human)	597
Q9H1E3	Q9H1E3	reviewed	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)	NUCKS1 NUCKS JC7	Homo sapiens (Human)	243
Q9H1H9	Q9H1H9	reviewed	KI13A_HUMAN	Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)	KIF13A RBKIN	Homo sapiens (Human)	1805
Q9H1I8	Q9H1I8	reviewed	ASCC2_HUMAN	Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)	ASCC2 ASC1P100 RQT3	Homo sapiens (Human)	757
Q9H1J1	Q9H1J1	reviewed	REN3A_HUMAN	Regulator of nonsense transcripts 3A (Nonsense mRNA reducing factor 3A) (Up-frameshift suppressor 3 homolog A, hUpf3)	UPF3A RENT3A UPF3	Homo sapiens (Human)	476
Q9H1K0	Q9H1K0	reviewed	RBNS5_HUMAN	Rabenosyn-5 (110 kDa protein) (FYVE finger-containing Rab5 effector protein rabenosyn-5) (RAB effector RBSN) (Zinc finger FYVE domain-containing protein 20)	RBSN ZFYVE20	Homo sapiens (Human)	784
Q9H1K6	Q9H1K6	reviewed	TLRN1_HUMAN	Talin rod domain-containing protein 1 (Mesoderm development candidate 1)	TLNRD1 MESDC1	Homo sapiens (Human)	362
Q9H1N7	Q9H1N7	reviewed	S35B3_HUMAN	Adenosine 3'-phospho 5'-phosphosulfate transporter 2 (3'-phosphoadenosine 5'-phosphosulfate transporter) (PAPS transporter 2) (Solute carrier family 35 member B3)	SLC35B3 C6orf196 PAPST2 CGI-19	Homo sapiens (Human)	401
Q9H1R3	Q9H1R3	reviewed	MYLK2_HUMAN	Myosin light chain kinase 2, skeletal/cardiac muscle, MLCK2, EC 2.7.11.18	MYLK2	Homo sapiens (Human)	596
Q9H1V8	Q9H1V8	reviewed	S6A17_HUMAN	Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17)	SLC6A17 NTT4	Homo sapiens (Human)	727
Q9H1Z4	Q9H1Z4	reviewed	WDR13_HUMAN	WD repeat-containing protein 13	WDR13	Homo sapiens (Human)	485
Q9H201	Q9H201	reviewed	EPN3_HUMAN	Epsin-3 (EPS-15-interacting protein 3)	EPN3	Homo sapiens (Human)	632
Q9H211	Q9H211	reviewed	CDT1_HUMAN	DNA replication factor Cdt1 (Double parked homolog, DUP)	CDT1	Homo sapiens (Human)	546
Q9H213	Q9H213	reviewed	MAGH1_HUMAN	Melanoma-associated antigen H1 (Apoptosis-related protein 1, APR-1) (MAGE-H1 antigen) (Restin)	MAGEH1 APR1	Homo sapiens (Human)	219
Q9H223	Q9H223	reviewed	EHD4_HUMAN	EH domain-containing protein 4 (Hepatocellular carcinoma-associated protein 10/11) (PAST homolog 4)	EHD4 HCA10 HCA11 PAST4 FKSG7	Homo sapiens (Human)	541
Q9H244	Q9H244	reviewed	P2Y12_HUMAN	P2Y purinoceptor 12, P2Y12 (ADP-glucose receptor, ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor, P2Y(ADP)) (SP1999)	P2RY12 HORK3	Homo sapiens (Human)	342
Q9H246	Q9H246	reviewed	CA021_HUMAN	Uncharacterized protein C1orf21 (Cell proliferation-inducing gene 13 protein)	C1orf21 PIG13	Homo sapiens (Human)	121
Q9H252	Q9H252	reviewed	KCNH6_HUMAN	Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2, ERG-2, Eag-related protein 2, Ether-a-go-go-related protein 2, hERG-2, hERG2) (Voltage-gated potassium channel subunit Kv11.2)	KCNH6 ERG2	Homo sapiens (Human)	994
Q9H254	Q9H254	reviewed	SPTN4_HUMAN	Spectrin beta chain, non-erythrocytic 4 (Beta-IV spectrin) (Spectrin, non-erythroid beta chain 3)	SPTBN4 KIAA1642 SPTBN3	Homo sapiens (Human)	2564
Q9H257	Q9H257	reviewed	CARD9_HUMAN	Caspase recruitment domain-containing protein 9, hCARD9	CARD9	Homo sapiens (Human)	536
